IDPERSONA,CLUSTER,PERFIL_NOMBRE,TIPOEMPLEADO_ACTUAL_DESC,SUBGRUPO,NUM_TITULACIONES,NUM_TIT_BACHILLERATO,NUM_TIT_CUARTO_NIVEL,NUM_TIT_TERCER_NIVEL,NUM_CAPACITACIONES,SUMA_DURACION_CAPACITACIONES,NUM_CAPACITACIONES_APROBACION,NUM_CAPACITACIONES_VIRTUAL,NUM_CAPACITACIONES_PRESENCIAL,NUM_CERTIFICACIONES,SUMA_DURACION_CERTIFICACIONES,NUM_PONENCIAS,SUMA_DURACION_PONENCIAS,NUM_CURSOS,NUM_PERIODOS_DOCENCIA,TOTAL_HORAS_DOCENCIA,TOTAL_ESTUDIANTES,PROMEDIO_ESTUDIANTES_POR_CURSO,NUM_ACTIVIDADES_POLITECNICAS,NUM_ACTIVIDADES_T1,NUM_ACTIVIDADES_T2,NUM_ACTIVIDADES_T3,TOTAL_HORAS_POLITECNICAS,NUM_EXPERIENCIAS_EXTERNAS,NUM_EXPERIENCIAS_ACADEMICAS,NUM_EXPERIENCIAS_ADMINISTRATIVAS,NUM_EXPERIENCIAS_POR_CLASIFICAR,NUM_EXPERIENCIAS_ROL_PROFESOR,NUM_IDIOMAS,NUM_IDIOMAS_NO_NATIVOS,NUM_IDIOMAS_CON_NIVELMCER,NUM_EVALUACIONES,PROMEDIO_HETEROEVALUACION,TOTAL_REGISTRADOS,TOTAL_EVALUADOS,COBERTURA_EVALUACION,NUM_RECONOCIMIENTOS,NUM_TIPOS_RECONOCIMIENTO_DISTINTOS,NUM_PROYECTOS_GRADO_DIRIGIDOS,NUM_PROGRAMAS_TITULACION_DISTINTOS,NUM_PROYECTOS_INVESTIGACION,NUM_PROYECTOS_ACTIVOS,NUM_PROYECTOS_FINALIZADOS,NUM_PROYECTOS_COMO_DIRECTOR,NUM_PROYECTOS_COMO_CODIRECTOR,NUM_PROYECTOS_COMO_PARTICIPANTE,NUM_PROYECTOS_VINCULACION,NUM_VINCULACION_TUTOR,NUM_VINCULACION_DIRECTOR_PROYECTO,NUM_VINCULACION_DIRECTOR_PROGRAMA,NUM_PUBLICACIONES,NUM_PUBLICACIONES_INDEXADAS,NUM_PUBLICACIONES_REVISION_PARES,NUM_PUBLICACIONES_Q1,NUM_PUBLICACIONES_Q2,N_REGISTROS_HISTORIAL,N_CONTRATOS_TOTAL,N_CARGOS_DISTINTOS,CARGO_MAS_FRECUENTE,MULTIPLES_CARGOS_MISMO_ANIO,N_UNIDADES_DISTINTAS,N_FACULTADES_DISTINTAS,PASO_POR_RECTORADO,N_REGIMENES_DISTINTOS,REGIMEN_INICIAL_DESC,REGIMEN_ACTUAL_DESC,ES_DOCENTE_ADMIN_MIXTO,ANIOS_EXPERIENCIA_DOCENTE,ANIOS_EXPERIENCIA_ADMINISTRATIVO,DEDICACION_DOCENTE_ACTUAL,DEDICACION_DOCENTE_MAS_FRECUENTE,N_DEDICACIONES_DOCENTE_DISTINTAS,PROPORCION_CONTRATOS_FINALIZADOS,VIGENTE_ACTUALMENTE,ANTIGUEDAD_EFECTIVA_ANIOS,ANTIGUEDAD_CALENDARIO_ANIOS,N_REINGRESOS,NIVEL_ACADEMICO_MAXIMO,PROPORCION_CAPACITACIONES_APROBADAS,HORAS_PROMEDIO_POR_ACTIVIDAD_POLITECNICA,NUM_PUBLICACIONES_POR_ANIO,NUM_PROYECTOS_INVESTIGACION_POR_ANIO,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES,CARGO_ACTUAL,UNIDAD_ACTUAL_NOMBRE,VIGENTE_TRAMO_ESTRUCTURAL,ES_MIXTO,CARGOS_ACTUALES_MIXTO,CATEGORIAS_ACTUALES_MIXTO,DURACION_MEDIANA_TRAMO_ANIOS,TURBULENCIA_TRAMOS,ENTROPIA_CATEGORIA_CARGO,PROPORCION_ANIOS_ADMINISTRATIVO,CATEGORIA_ROL_ADICIONAL_MAS_RECIENTE,TUVO_ROL_ADICIONAL_SIMULTANEO,ANIOS_EN_UNIDAD_ACTUAL,TUVO_FUNCION_ADICIONAL,CATEGORIA_FUNCION_ADICIONAL_MAS_RECIENTE,CARGO_ES_CONTRATO_PUNTUAL_VIGENTE
97926,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,1.0,0.0,0.0,1.0,12.0,775.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,TÉCNICO DOCENTE 3 (TC),False,1.0,0.0,False,1.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,False,3.39,0.0,Tiempo Completo,Tiempo Completo,1.0,0.86,True,2.97,2.98,1.0,tercer_nivel,0.9166666666666666,,0.0,0.0,11.0,2.0,470.0,TÉCNICO DOCENTE 3 (TC),DIRECCIÓN DE ADMISIONES,True,False,,,1.49,0.46,-0.0,0.0,,False,1.98,False,,False
75739,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,1.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,3.0,0.0,1240.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,False,3.0,1.0,False,2.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,CONTRATO CIVIL,True,0.37,0.48,Tiempo Completo,Tiempo Completo,1.0,1.0,False,0.83,2.7,4.0,tercer_nivel,1.0,413.3333333333333,,,4.0,2.0,98.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),DECANATO DE INVESTIGACIÓN,False,False,,,0.18,0.51,-0.0,0.0,,False,0.11,False,,False
659596,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,3.0,1.0,1.0,1.0,6.0,50.0,4.0,3.0,2.0,3.0,77.0,0.0,0.0,2.0,1.0,82.24,11.0,5.5,13.0,13.0,13.0,9.0,11728.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,87.72,11.0,10.0,0.9091,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,38.0,2.0,2.0,TÉCNICO DE LABORATORIO 1 (TC),True,1.0,1.0,False,1.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,False,5.82,0.0,Tiempo Completo,Tiempo Completo,1.0,0.86,False,5.16,5.44,2.0,cuarto_nivel,0.6666666666666666,902.1538461538462,0.193798449612403,0.3875968992248061,14.0,6.0,853.0,TÉCNICO DE LABORATORIO 1 (TC),FACULTAD DE CIENCIAS DE LA VIDA,True,False,,,5.5,,-0.0,0.0,,False,5.5,False,,False
646521,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,2.0,0.0,1.0,1.0,1.0,10.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),False,1.0,0.0,False,1.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,False,0.25,0.0,Tiempo Completo,Tiempo Completo,1.0,1.0,False,0.25,0.25,0.0,cuarto_nivel,0.0,800.0,,,4.0,3.0,499.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),"CENTRO DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN DE SISTEMAS COMPUTACIONALES",False,False,,,0.24,,-0.0,0.0,,False,0.24,False,,False
647788,-1,Personal por contrato puntual / prestación de servicios (sin cargo estructural),,,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,False,1.0,1.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.0,0.16,,,0.0,1.0,False,0.16,0.16,0.0,cuarto_nivel,,,,,6.0,2.0,1047.0,,,,False,,,,,,,,False,,False,,False
76115,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,2.0,0.0,1.0,1.0,33.0,275.62,31.0,33.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,TÉCNICO DOCENTE 3 (TC),True,2.0,0.0,False,2.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,CONTRATO CIVIL,False,1.35,0.0,Tiempo Completo,Tiempo Completo,1.0,0.75,True,1.33,1.33,1.0,cuarto_nivel,0.9393939393939394,,0.0,0.0,39.0,3.0,1594.0,PROFESOR INVITADO,DECANATO DE GRADO,False,False,,,0.97,,-0.0,0.0,,False,0.97,False,,True
649825,12,Técnico operativo / mantenimiento,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,False,1.0,0.0,False,1.0,CONTRATO CIVIL,CONTRATO CIVIL,False,0.0,0.04,,,0.0,1.0,False,0.04,1.0,1.0,tercer_nivel,,,,,3.0,2.0,668.0,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,CENTRO DE EMPRENDIMIENTO E INNOVACIÓN I3LAB,False,False,,,0.0,,0.0,,,False,0.0,False,,False
95471,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,1.0,0.0,0.0,1.0,10.0,612.0,5.0,4.0,1.0,8.0,234.0,0.0,0.0,8.0,3.0,202.97,44.0,5.5,11.0,10.0,5.0,1.0,2550.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,93.08,44.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,TÉCNICO DOCENTE 1 (TC),False,1.0,1.0,False,1.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,False,1.42,0.0,Tiempo Completo,Tiempo Completo,1.0,1.0,False,1.37,1.37,0.0,tercer_nivel,0.5,231.8181818181818,0.0,0.0,24.0,4.0,1204.0,TÉCNICO DOCENTE 1 (TC),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR,False,False,,,1.37,,-0.0,0.0,,False,1.37,False,,False
75804,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,2.0,0.0,1.0,1.0,4.0,84.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,800.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),False,1.0,1.0,False,1.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,False,0.11,0.0,Tiempo Completo,Tiempo Completo,1.0,1.0,False,0.11,0.11,0.0,cuarto_nivel,1.0,800.0,,,7.0,2.0,339.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,False,False,,,0.11,,-0.0,0.0,,False,0.11,False,,False
668132,11,Técnico docente / de investigación,DOCENTE,TECNICO_DOCENTE_APOYO,1.0,0.0,0.0,1.0,9.0,179.0,5.0,4.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,4.0,4.0,4.0,3.0,7360.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),False,1.0,0.0,False,1.0,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,LOES - LEY ORGANICA DE EDUCACION SUPERIOR,False,3.48,0.0,Tiempo Completo,Tiempo Completo,1.0,0.75,False,3.01,3.33,2.0,tercer_nivel,0.5555555555555556,1840.0,0.0,1.32890365448505,17.0,4.0,1765.0,TÉCNICO DE INVESTIGACIÓN 1 (TC),CENTRO DE INVESTIGACIONES BIOTECNOLÓGICAS DEL ECUADOR,True,False,,,3.39,,-0.0,0.0,,False,3.39,False,,False
