N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS,IDPERSONA
1,1,0,0,18.87,18.87,18.87,1,1,1.0,1164
7,5,6,1,6.2,5.37,14.6,2,2,0.714,1168
8,7,4,2,2.7,0.61,14.97,2,2,0.875,1170
1,1,0,0,9.08,9.08,9.08,1,1,1.0,1175
2,2,1,1,5.96,5.96,6.36,2,2,1.0,1176
6,4,4,3,2.25,0.51,10.71,3,3,0.667,1178
5,4,4,1,8.19,2.86,26.49,2,2,0.8,1180
1,1,0,0,28.37,28.37,28.37,1,1,1.0,1193
2,2,1,0,8.81,8.81,15.75,1,1,1.0,1202
2,2,1,1,20.61,20.61,22.04,2,2,1.0,1205
8,5,4,3,2.79,0.51,8.19,3,2,0.625,1206
10,8,9,4,3.24,2.63,8.71,3,2,0.8,1211
11,10,4,2,1.91,0.93,6.0,3,3,0.909,1212
5,5,1,1,2.67,1.83,7.96,2,2,1.0,1213
7,4,5,5,3.78,1.06,12.54,4,3,0.571,1216
2,1,1,1,1.79,1.79,3.34,2,1,0.5,1219
4,3,2,1,4.42,1.19,15.29,2,2,0.75,1220
4,4,3,0,5.27,4.13,9.99,1,1,1.0,1225
5,4,4,1,7.29,5.0,17.69,2,2,0.8,1229
5,5,4,1,4.88,2.0,16.7,2,2,1.0,1230
6,6,4,1,4.1,1.9,13.7,2,2,1.0,1231
6,5,3,1,4.26,2.27,13.7,2,2,0.833,1232
3,3,2,1,3.2,2.5,6.46,2,2,1.0,1235
4,4,3,1,6.17,3.02,18.27,2,2,1.0,1246
10,6,8,1,3.92,0.65,16.74,2,2,0.6,1247
4,3,3,1,1.96,1.99,3.79,2,2,0.75,1252
5,5,4,1,7.24,8.15,13.16,2,2,1.0,1255
8,6,3,1,2.49,0.36,14.29,2,2,0.75,1262
7,7,5,1,3.77,1.17,14.59,2,2,1.0,1268
8,6,7,2,1.27,1.27,2.59,3,3,0.75,1277
2,2,1,0,11.2,11.2,16.48,1,1,1.0,1278
3,3,2,1,11.55,13.08,19.49,2,2,1.0,1288
3,3,2,1,11.34,12.71,18.24,2,2,1.0,1290
1,1,0,0,37.01,37.01,37.01,1,1,1.0,1304
4,4,2,1,3.22,0.79,10.91,2,2,1.0,1308
2,2,1,1,7.85,7.85,13.7,2,2,1.0,1315
2,2,1,1,9.44,9.44,18.08,2,2,1.0,1322
3,1,2,1,6.64,0.0,19.92,2,1,0.333,1329
8,5,7,3,3.92,1.28,21.58,2,2,0.625,1335
3,3,2,2,5.57,0.79,15.29,2,2,1.0,1339
3,3,2,1,5.19,2.33,11.87,2,2,1.0,1349
3,3,2,1,12.31,11.71,20.21,2,2,1.0,1354
8,5,6,4,2.41,1.89,6.13,3,3,0.625,1360
3,3,2,1,9.62,2.63,25.46,2,2,1.0,1363
2,2,1,1,1.6,1.6,2.0,2,2,1.0,1364
2,2,1,1,15.18,15.18,29.43,2,2,1.0,1372
5,3,2,2,5.16,5.25,13.7,2,2,0.6,1373
9,6,4,1,2.31,0.72,15.68,2,2,0.667,1375
4,3,3,1,8.88,6.51,22.26,2,2,0.75,1385
12,3,4,4,1.19,0.08,12.89,3,2,0.25,1400
2,2,1,1,14.98,14.98,18.25,2,2,1.0,1402
5,5,2,3,6.24,2.13,20.96,2,2,1.0,1411
10,8,5,2,2.51,0.88,6.46,3,3,0.8,1421
5,4,4,2,4.39,0.36,20.12,2,2,0.8,1424
6,5,1,1,3.49,1.19,12.67,2,2,0.833,1426
1,1,0,0,2.34,2.34,2.34,1,1,1.0,1430
1,1,0,0,4.34,4.34,4.34,1,1,1.0,1433
4,2,1,2,6.3,1.88,21.45,2,1,0.5,1439
7,5,5,2,4.1,0.93,20.29,2,2,0.714,1444
3,3,1,1,4.82,3.39,10.68,2,2,1.0,1451
11,7,4,2,1.53,1.24,5.0,2,1,0.636,1457
7,5,2,1,3.18,0.64,8.78,2,2,0.714,1472
6,6,5,0,5.29,3.83,13.91,1,1,1.0,1476
3,3,1,2,1.33,1.0,1.99,3,3,1.0,1478
3,3,2,1,8.6,10.54,14.08,2,2,1.0,1485
4,4,3,2,5.82,1.16,20.4,2,2,1.0,1496
10,9,8,2,1.66,0.82,4.37,3,3,0.9,1517
16,15,15,2,2.62,1.52,9.08,3,3,0.938,1526
5,5,4,1,6.48,3.39,18.3,2,2,1.0,1530
3,3,2,2,7.51,5.03,13.63,3,3,1.0,1534
5,5,1,0,2.93,3.16,5.83,1,1,1.0,1546
5,4,4,1,2.03,0.41,8.12,2,2,0.8,1550
12,11,7,3,1.78,0.93,5.33,2,2,0.917,1553
1,1,0,0,10.62,10.62,10.62,1,1,1.0,1554
3,3,2,1,12.47,11.71,17.91,2,2,1.0,1555
3,3,2,1,3.73,2.68,6.87,2,2,1.0,1557
3,3,1,1,6.09,1.94,15.96,2,2,1.0,1569
2,2,1,0,15.11,15.11,28.51,1,1,1.0,1573
8,6,6,3,3.11,1.62,11.96,3,2,0.75,1576
10,5,2,1,0.91,0.28,4.61,2,2,0.5,1577
6,6,3,2,2.59,1.0,11.38,3,3,1.0,1583
9,7,4,2,2.05,0.5,13.7,2,2,0.778,1586
2,2,1,1,7.25,7.25,13.17,2,2,1.0,1593
6,5,5,1,5.82,2.64,18.91,2,2,0.833,1598
2,1,1,1,7.94,7.94,15.87,2,1,0.5,1601
5,5,3,1,5.23,3.32,16.7,2,2,1.0,1606
5,5,4,1,3.45,1.33,10.96,2,2,1.0,1614
5,5,4,2,3.69,2.87,7.0,3,3,1.0,1616
2,2,1,1,13.03,13.03,18.71,2,2,1.0,1628
1,1,0,0,11.27,11.27,11.27,1,1,1.0,1637
4,4,3,1,5.29,3.18,13.99,2,2,1.0,1644
1,0,0,0,0.22,0.22,0.22,1,0,0.0,1657
4,4,3,2,5.37,0.65,19.81,2,2,1.0,1660
5,4,2,1,3.86,0.93,11.96,2,2,0.8,1662
6,6,5,2,5.6,2.81,22.33,3,3,1.0,1668
20,9,12,5,1.0,0.09,12.08,3,3,0.45,1670
3,2,2,1,5.71,2.0,14.96,2,2,0.667,1674
3,3,2,1,6.04,6.41,6.58,2,2,1.0,1676
6,4,4,3,3.13,1.01,10.12,2,2,0.667,1681
4,3,3,1,3.31,3.32,6.46,2,2,0.75,1688
6,6,4,2,0.93,0.51,2.71,3,3,1.0,1689
5,5,3,1,1.87,0.45,5.01,2,2,1.0,1697
2,2,1,1,4.35,4.35,5.39,2,2,1.0,1701
7,7,2,3,1.31,0.95,3.75,3,3,1.0,1706
5,4,4,1,3.76,3.71,10.28,2,2,0.8,1718
6,6,3,1,1.28,0.39,4.36,2,2,1.0,1728
2,2,1,1,2.46,2.46,2.99,2,2,1.0,1741
4,4,3,1,4.76,1.37,15.29,2,2,1.0,1742
2,2,1,0,1.57,1.57,1.77,1,1,1.0,1745
3,3,1,0,4.11,3.0,7.36,1,1,1.0,1760
3,2,2,1,8.95,8.9,17.7,2,2,0.667,1787
7,5,5,2,3.85,1.23,11.71,2,2,0.714,1790
3,3,2,1,10.5,1.75,28.7,2,2,1.0,1794
5,5,1,1,4.46,1.36,15.29,2,2,1.0,1797
4,4,1,1,3.11,0.86,10.37,2,2,1.0,1812
7,7,6,0,2.65,2.0,5.83,1,1,1.0,1842
6,3,5,1,2.16,0.93,6.0,2,1,0.5,1848
6,6,5,1,2.97,1.15,11.54,2,2,1.0,1857
5,4,3,2,5.42,1.93,21.04,3,3,0.8,1877
5,5,4,4,5.22,1.33,15.87,4,4,1.0,1878
5,4,3,1,4.04,1.72,15.29,2,2,0.8,1885
5,4,4,1,3.19,1.0,11.54,2,2,0.8,1888
6,5,5,1,1.98,0.58,6.33,2,2,0.833,1889
5,3,4,1,3.44,1.79,9.06,2,2,0.6,1890
5,4,4,1,2.78,0.87,11.35,2,2,0.8,1891
5,5,2,1,2.59,0.95,8.08,2,2,1.0,1903
6,5,5,2,2.28,1.84,4.86,3,3,0.833,1933
4,3,3,1,5.06,5.15,9.86,2,2,0.75,1935
1,1,0,0,0.28,0.28,0.28,1,1,1.0,1945
8,8,7,3,3.96,2.07,12.96,2,2,1.0,1947
4,4,3,2,3.43,1.5,10.12,3,3,1.0,1961
17,8,10,5,0.97,0.21,11.45,3,2,0.471,1971
5,5,3,2,5.59,1.92,20.34,2,2,1.0,1977
3,3,2,1,8.08,3.97,17.93,2,2,1.0,1979
4,3,2,1,6.4,6.6,12.34,2,2,0.75,1980
9,5,8,2,3.16,0.63,11.15,2,2,0.556,1991
2,2,0,1,3.59,3.59,4.95,2,2,1.0,2006
2,2,1,0,4.62,4.62,8.0,1,1,1.0,2008
8,6,7,1,3.08,1.5,11.71,2,2,0.75,2022
13,7,8,3,2.04,1.0,7.68,2,2,0.538,2031
1,1,0,0,2.98,2.98,2.98,1,1,1.0,2036
2,2,1,1,10.49,10.49,15.16,2,2,1.0,2045
5,5,4,1,4.42,1.0,17.87,2,2,1.0,2049
3,3,1,1,3.07,2.38,6.45,2,2,1.0,2051
5,5,4,1,4.59,5.39,5.58,2,2,1.0,2052
4,4,3,1,4.03,4.1,6.43,2,2,1.0,2058
5,5,4,2,2.51,1.59,7.35,2,2,1.0,2067
8,8,6,1,2.68,0.53,13.7,2,2,1.0,2069
4,4,2,1,3.24,0.54,11.54,2,2,1.0,2081
3,2,2,1,2.89,1.04,7.54,2,1,0.667,2097
7,5,5,2,1.75,0.34,9.03,3,3,0.714,2098
1,1,0,0,3.25,3.25,3.25,1,1,1.0,2103
9,6,6,2,2.91,0.79,10.83,2,2,0.667,2105
1,1,0,0,12.66,12.66,12.66,1,1,1.0,2124
2,2,1,0,1.1,1.1,1.59,1,1,1.0,2125
1,1,0,0,9.96,9.96,9.96,1,1,1.0,2137
2,2,1,1,12.68,12.68,13.65,2,2,1.0,2146
2,2,1,1,5.27,5.27,10.12,2,2,1.0,2147
9,7,3,3,2.78,0.35,20.96,4,4,0.778,2152
7,5,5,5,2.35,1.38,9.09,3,3,0.714,2161
6,6,3,2,1.16,0.67,3.26,3,3,1.0,2167
8,7,6,5,3.08,1.56,11.37,2,2,0.875,2178
7,6,6,1,2.92,0.67,11.87,2,2,0.857,2194
2,2,1,1,2.13,2.13,3.3,2,2,1.0,2196
8,8,4,3,1.4,0.78,5.33,2,2,1.0,2200
5,5,4,1,5.31,2.83,18.71,2,2,1.0,2203
2,2,1,1,3.52,3.52,6.56,2,2,1.0,2208
1,1,0,0,26.09,26.09,26.09,1,1,1.0,2213
7,6,6,1,3.85,1.95,11.71,2,2,0.857,2237
3,3,1,1,4.78,1.0,12.35,2,2,1.0,2280
3,3,2,1,4.38,1.41,11.38,2,2,1.0,2283
2,2,1,1,4.1,4.1,7.41,2,2,1.0,2293
3,3,2,1,5.23,5.25,10.12,2,2,1.0,2297
4,4,2,1,3.51,1.46,10.79,2,2,1.0,2299
2,2,1,1,5.33,5.33,9.38,2,2,1.0,2308
6,6,3,1,3.79,2.19,12.29,2,2,1.0,2312
1,1,0,0,0.83,0.83,0.83,1,1,1.0,2350
4,4,3,1,5.98,6.1,10.83,2,2,1.0,2370
4,3,2,2,4.61,3.37,11.71,3,2,0.75,2378
5,4,4,1,4.16,1.83,11.71,2,2,0.8,2380
8,8,5,1,3.35,1.96,12.55,2,2,1.0,2390
3,3,2,1,9.09,7.16,16.7,2,2,1.0,2391
1,1,0,0,24.93,24.93,24.93,1,1,1.0,2397
15,14,12,1,1.22,0.39,5.47,2,2,0.933,2419
1,1,0,0,10.71,10.71,10.71,1,1,1.0,2432
14,7,7,5,1.91,0.21,17.41,3,2,0.5,2455
1,1,0,0,2.34,2.34,2.34,1,1,1.0,2487
2,2,1,1,13.69,13.69,23.96,2,2,1.0,2497
4,1,3,2,0.55,0.2,1.67,3,1,0.25,2498
9,8,5,3,3.06,0.62,15.29,3,3,0.889,2516
2,1,1,0,5.69,5.69,11.38,1,1,0.5,2524
2,2,1,1,12.58,12.58,16.7,2,2,1.0,2535
8,5,7,1,2.65,2.4,7.45,2,2,0.625,2544
1,0,0,0,0.15,0.15,0.15,1,0,0.0,2546
2,2,1,1,7.85,7.85,11.71,2,2,1.0,2562
4,4,3,1,3.52,2.87,8.0,2,2,1.0,2567
7,6,5,3,3.09,1.67,10.27,4,3,0.857,2569
1,1,0,0,0.28,0.28,0.28,1,1,1.0,2593
1,1,0,0,1.35,1.35,1.35,1,1,1.0,2608
