IDPERSONA,MOTIVO_CATEGORIA,ULTIMO_CARGO_REGISTRADO,FECHA_INICIO_ULTIMO_CONTRATO,TIENE_CONTRATO_PUNTUAL_VIGENTE_HOY
58297,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2019-05-02,False
58898,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-01-09,False
59110,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-01-06,False
59966,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-01-04,False
60382,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-01-08,False
60719,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
61041,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES DE INVESTIGACIÓN,2021-11-22,False
61229,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-08-01,False
65177,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-06-14,False
65560,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-01-04,False
65565,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-13,False
65944,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-01-06,False
66290,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-06-17,False
66837,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2019-12-16,False
68616,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-09-01,False
68741,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
69419,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-01-06,False
70475,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
70986,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-12-13,False
71002,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-01-08,False
71557,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-02-08,False
73384,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-12-01,False
73562,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-08-03,False
73753,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
73833,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
74102,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2023-04-03,False
74154,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
74389,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2021-06-28,False
74967,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-08-01,False
75561,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
75576,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-02-03,False
75616,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-06-24,False
75667,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
75696,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE PROYECTOS,2024-01-08,False
75823,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES DE INVESTIGACIÓN,2022-04-26,False
75852,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2024-01-08,False
75870,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
76127,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES DE INVESTIGACIÓN,2023-05-10,False
76592,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
77000,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-13,False
77055,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-12-01,False
77108,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2019-09-30,False
77740,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES DE INVESTIGACIÓN,2022-10-28,False
77826,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
77897,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-11-06,False
77940,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-01-06,False
78071,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2025-10-02,False
78308,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2026-01-06,False
78338,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES DE INVESTIGACIÓN,2021-05-10,False
78384,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES DE INVESTIGACIÓN,2021-09-23,False
78431,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES,2022-10-25,False
