IDPERSONA,RAMA,PC1,PC2
2146,ADMINISTRATIVO,3.3637588392492006,1.023693679961421
2237,ADMINISTRATIVO,5.45715960414049,0.37376412404969905
653777,ADMINISTRATIVO,-3.0245299902265943,1.5530783574533191
2008,ADMINISTRATIVO,2.3073203219087506,-0.3266356688810511
67845,ADMINISTRATIVO,3.7973833769507737,-0.32379632445901396
2455,ADMINISTRATIVO,4.173833874451626,2.1068275505509666
654428,ADMINISTRATIVO,-5.491767883459369,0.41268149937044546
2370,ADMINISTRATIVO,3.7228195819376104,2.601033286102342
13170,ADMINISTRATIVO,-0.1881721280915882,3.5885963825050595
2544,ADMINISTRATIVO,4.719663555230411,0.8695899966410867
1534,ADMINISTRATIVO,1.594704823468306,2.6344387820629693
2612,ADMINISTRATIVO,3.0471605692724584,1.603311948889824
61634,ADMINISTRATIVO,0.9466256814280564,2.8214808482723326
2562,ADMINISTRATIVO,3.3958086668488914,0.028726908384489276
11880,ADMINISTRATIVO,-4.168761765154737,1.1538952858403677
639834,ADMINISTRATIVO,3.105487473520735,-1.5511261465919959
86476,ADMINISTRATIVO,-0.7646808866822938,-1.1127206498108004
2378,ADMINISTRATIVO,3.9215181642604096,0.8704590207488223
2535,ADMINISTRATIVO,3.259721380640499,0.24404947747656489
644134,ADMINISTRATIVO,2.998286144889738,-0.48014419343525594
101268,ADMINISTRATIVO,0.2957364535653199,0.7888369148033433
647012,ADMINISTRATIVO,2.5199402896552034,-1.1096540239743373
642021,ADMINISTRATIVO,1.8145463554660626,-2.5364981104964626
1478,ADMINISTRATIVO,-1.7730096945461795,1.0550827741856845
13956,ADMINISTRATIVO,2.9360621276275864,0.14471947139081434
3731,ADMINISTRATIVO,3.2066134788290217,2.487010867023183
2045,ADMINISTRATIVO,1.2976655199511145,2.707179609502763
651067,ADMINISTRATIVO,-0.556961056558028,-0.6259464360344427
5422,ADMINISTRATIVO,2.7867900623757835,0.48453416234176633
651227,ADMINISTRATIVO,-2.9429280769961985,-0.2049243700344184
4329,ADMINISTRATIVO,2.533064671442179,-0.3253776646075532
100730,ADMINISTRATIVO,1.9747495130922867,-2.7099167068859016
13971,ADMINISTRATIVO,3.6606798572081796,1.998941735473895
13922,ADMINISTRATIVO,1.9484098786613417,3.3730669283682913
38514,ADMINISTRATIVO,1.5517161052274193,-2.028758298809391
13040,ADMINISTRATIVO,4.428410011809727,2.2588981546058973
662067,ADMINISTRATIVO,-3.2508667322900977,0.8327318991398897
95517,ADMINISTRATIVO,-1.7949959317791104,1.4321140242476533
3503,ADMINISTRATIVO,2.228251205559666,-1.400727343919125
95545,ADMINISTRATIVO,3.204721497485854,-2.4814256510597583
1676,ADMINISTRATIVO,1.7170384254080355,3.527033676263722
10493,ADMINISTRATIVO,2.6563590993772337,2.782061338564124
639811,ADMINISTRATIVO,3.139631807884415,-1.5429080772555228
2380,ADMINISTRATIVO,5.1209993704013295,0.6194952216919959
10531,ADMINISTRATIVO,3.4594449752300687,0.20248965847148165
655996,ADMINISTRATIVO,-2.0482677170168366,1.6346951464793138
652917,ADMINISTRATIVO,1.2339238074783623,-1.9448782807936609
39450,ADMINISTRATIVO,0.8408351349509194,-0.7639799599187467
1787,ADMINISTRATIVO,5.7194810823793105,-0.2662050683302774
650956,ADMINISTRATIVO,1.6747810084971717,-0.746137479342605
