IDPERSONA,PC1,PC2
8530,-0.0038859549,-0.18686521
8558,0.08420893,-0.0154134
8588,-0.19063134,-0.018510329
8666,0.093130454,-0.08127613
8757,0.11293666,0.001483642
8762,-0.17730932,-0.008148256
8766,0.130915,-0.030158285
8850,-0.21628568,0.1533393
8884,0.008974328,-0.071151756
8941,0.108247906,0.012383211
8975,0.017440049,0.0034349672
9006,0.023217293,0.018412415
9029,0.11891662,0.074850775
9035,0.16092749,0.04475538
9189,0.09287208,-0.00684507
9196,-0.010817091,-0.016919471
9326,0.08496213,0.02969425
9345,-0.05226374,-0.00833905
9416,-0.055725027,0.06152367
9457,0.069998905,-0.012309683
9465,0.027021324,-0.16346018
9510,0.12606342,0.008882663
9589,-0.26290175,0.123536564
9640,-0.03931374,-0.011289345
9654,0.03883954,-0.023654543
9693,0.15754019,0.01747139
9715,-0.19415778,0.009970071
9728,0.056565598,-0.069690295
9750,-0.22578654,0.13322231
9767,-0.125266,0.12928772
9816,0.16881812,0.07439685
9834,0.108415976,0.047899723
9855,0.12631954,-0.066712424
9912,0.17189807,0.080499716
9936,0.0971194,0.014075434
10023,-0.0012751536,0.0551667
10059,0.0869198,0.021594167
10093,-0.023030479,0.019804616
10130,0.033866484,-0.14367905
10133,0.01810047,-0.0017582795
10136,-0.056641925,0.032641977
10157,0.14721444,-0.051402945
10191,-0.008446188,0.016622048
10248,0.15030345,0.025385901
10271,-0.018408777,-0.032228082
10308,-0.24490726,0.054732155
10352,0.15526272,0.051902335
10441,0.03854428,0.012138399
10447,-0.009812608,0.059419494
10487,-0.07356114,-0.0058755237
10493,0.06802139,-0.0117078805
10531,-0.004711335,-0.03512882
10597,0.012808348,0.017356666
10646,0.13815767,0.06063951
10864,-0.033716466,0.013444264
10941,0.17099161,0.077005975
10946,0.04010449,-0.00041342698
11053,0.08042712,0.007542015
11174,-0.03860682,0.028912816
11220,-0.011704377,0.09609184
11234,0.104763955,-0.08437241
11243,0.08630109,-0.040957432
11351,0.04251286,0.056338873
11354,0.08311658,0.07657852
11509,0.05145671,-0.16484201
11841,-0.2441204,0.106474176
11851,0.05061554,0.035273295
11859,0.13965487,0.01179565
11865,0.029727252,-0.004128975
11880,0.056915972,0.061773553
11918,0.11071936,-0.037992373
12371,-0.13585791,0.015821937
12394,0.12494209,0.058775865
12403,0.03054099,-0.031008752
12405,-0.005934601,0.003634449
12411,0.08390909,0.020471336
12422,0.026755292,-0.1581134
12471,-0.026710188,-0.05535778
12487,0.11429017,0.03470442
12509,-0.1655657,0.11351083
12725,0.14420223,0.044767916
12781,0.037167117,0.07090778
12880,0.0874425,0.06476562
12899,-0.03595218,0.017540768
12900,-0.0040523913,-0.23627926
13040,0.06235337,-0.06706537
13055,0.14385484,0.042494744
13135,-0.034139164,0.006050155
13170,0.05118373,-0.0060793385
13325,-0.014172214,-0.24992268
13326,0.10025842,-0.0974773
13351,0.011697558,0.006245533
13505,0.026587168,0.056169335
13514,-0.055181704,0.025838615
13532,0.05840813,-0.12747301
13551,-0.17087801,-0.01635604
13566,0.16000625,0.029298056
13660,0.018309789,-0.19158384
13663,-0.14576378,-0.005095941
13674,0.0399217,-0.011730909
13703,0.02251658,-0.17625786
13705,0.044770326,-0.16162825
13708,0.035502043,-0.2060112
13756,0.15233281,0.0453584
13779,-0.04595996,-0.111698955
13801,0.0959212,0.035034794
13826,0.038495332,-0.14218928
13838,0.10852338,0.0101693915
13863,-0.12709694,0.001774601
13876,0.15734889,0.07572164
13879,0.042859904,0.022261536
13895,0.0226596,0.026571859
13897,0.11126486,-0.02995845
13901,-0.14292723,0.16355346
13922,0.08753985,-0.065113045
13929,-0.09511891,-0.0035341918
13956,0.16381943,0.05994956
13971,0.11909783,-0.035193123
13994,0.1544533,0.037078246
14004,0.17632417,0.03232749
14022,0.12711181,0.03590947
14060,0.15953642,0.058191784
14080,0.020961456,-0.133584
14089,0.11287346,-0.06453446
14091,0.057662673,-0.11142094
14093,0.034963027,-0.061288692
14097,-0.0006983441,0.0520223
14113,0.047846198,0.025413152
14116,0.085873485,-0.024535555
14147,0.08814322,0.01041468
14153,0.09089254,-0.0940263
14155,0.0953022,0.05256854
14164,-0.006491765,-0.029802095
14171,-0.06824858,-0.02123888
14178,0.16482073,0.057699125
14179,0.04190505,0.021762427
14185,-0.006741196,-0.012098806
14216,0.08455167,0.029916197
14227,0.019461805,0.004133758
14258,-0.0811639,0.0041134646
14261,0.16335481,0.0583956
14264,0.0825559,0.011493659
14309,0.0054348065,-0.17889234
14321,0.0041107303,0.0068071494
14328,-0.016689613,-0.04737298
14333,0.1609341,0.05939561
14340,-0.010975469,-0.04783285
14361,-0.035018884,-0.004674973
14390,0.10248207,0.08590502
14397,-0.16692053,0.067589045
14464,0.05214556,0.037928604
14465,0.11103315,0.03971347
14489,0.034548532,0.011087479
14491,-0.2369153,0.105389215
14497,0.01625105,-0.044508856
14501,0.015772553,0.10055465
14522,-0.21884704,0.10969212
14547,-0.075160496,0.049340367
14613,0.009189402,-0.12483931
14617,-0.03334446,-0.26144162
14623,0.118201494,0.01677777
14627,-0.06266644,0.010147771
14628,-0.031033987,-0.14309198
14710,-0.0191479,0.076057695
15548,-0.22344789,-0.08278015
15674,-0.25526813,0.13319297
17054,-0.029950215,-0.24558364
17123,-0.21375395,0.035786334
17519,0.12108469,0.021604178
18327,0.05799512,0.0106511405
19999,-0.054689396,0.014244169
20698,0.013274591,-0.13076325
21004,0.06387417,0.0077157267
21436,-0.089562096,-0.18440618
21772,0.018321125,-0.12941799
21816,0.012326573,-0.18416923
21845,0.021370744,-0.14587133
21907,0.104564585,0.02617979
22124,-0.15653907,-0.0063414155
22230,0.11494185,0.020742191
22233,-0.0052361256,-0.022897147
