IDPERSONA,N_TRAMOS_ROL,N_CATEGORIAS_ROL_DISTINTAS,CATEGORIA_CARGO_ACTUAL,TIPOEMPLEADO_CATEGORIA_ACTUAL,CARGO_ACTUAL_ESTRUCTURAL,UNIDAD_ACTUAL_ESTRUCTURAL,VIGENTE_TRAMO_ESTRUCTURAL,ANIOS_EN_CATEGORIA_ACTUAL,CATEGORIA_CARGO_PRIMERA,ES_TRAYECTORIA_ESTABLE,ES_MIXTO,CARGOS_ACTUALES_MIXTO,CATEGORIAS_ACTUALES_MIXTO,DURACION_MEDIANA_TRAMO_ANIOS,TURBULENCIA_TRAMOS,ENTROPIA_CATEGORIA_CARGO,PROPORCION_ANIOS_ADMINISTRATIVO,N_TRANSICIONES_ROL,N_TRANSICIONES_AA_A_DD,N_TRANSICIONES_DD_A_AA,TUVO_TRANSICION_AA_A_DD,TUVO_TRANSICION_DD_A_AA,ANIOS_DESDE_ULTIMA_TRANSICION,N_ROLES_ADICIONALES_SIMULTANEOS_DISTINTOS,CATEGORIA_ROL_ADICIONAL_MAS_RECIENTE,TUVO_ROL_ADICIONAL_SIMULTANEO,ANIOS_EN_UNIDAD_ACTUAL,TUVO_FUNCION_ADICIONAL,N_FUNCIONES_ADICIONALES,N_CATEGORIAS_FUNCION_ADICIONAL_DISTINTAS,TUVO_SUBROGACION,N_SUBROGACIONES,TUVO_FUNCION_NO_COINCIDENTE_CON_CONTRATO,CATEGORIA_FUNCION_ADICIONAL_MAS_RECIENTE,CARGO_PUNTUAL_VIGENTE,UNIDAD_PUNTUAL_VIGENTE,CATEGORIA_PUNTUAL_VIGENTE,TIPOEMPLEADO_PUNTUAL_VIGENTE
14328,4,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,True,0.37,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.37,0.42,-0.0,0.0,0,0,0,False,False,,0,,False,0.37,False,0,0,False,0,False,,,,,
14333,1,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,True,5.33,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,5.33,,-0.0,0.0,0,0,0,False,False,,0,,False,5.33,True,5,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
14340,1,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,True,10.46,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,10.46,,-0.0,0.0,0,0,0,False,False,,0,,False,9.7,True,4,2,False,0,True,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,,,,
14361,1,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 3 (MT),DIRECCIÓN DE ADMISIONES,False,0.22,TECNICO_DOCENTE_APOYO,True,False,,,0.22,,-0.0,0.0,0,0,0,False,False,,0,,False,0.22,False,0,0,False,0,False,,,,,
14390,1,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,False,5.57,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,5.57,,-0.0,0.0,0,0,0,False,False,,0,,False,5.34,False,0,0,False,0,False,,,,,
14397,1,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DE LABORATORIO 1 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,0.24,TECNICO_DOCENTE_APOYO,True,False,,,0.24,,-0.0,0.0,0,0,0,False,False,,0,,False,0.24,True,4,1,False,0,False,JEFATURA_SUPERVISION_OPERATIVA,,,,
14464,2,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,True,2.67,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,3.96,0.46,-0.0,0.0,0,0,0,False,False,,0,,False,2.67,True,2,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
14465,4,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,0.1,TECNICO_DOCENTE_APOYO,False,False,,,0.11,1.78,0.2896,0.0,1,0,0,False,False,2.84,0,,False,0.1,False,0,0,False,0,False,,,,,
14489,2,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,False,2.12,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,1.81,0.25,-0.0,0.0,0,0,0,False,False,,0,,False,2.12,False,0,0,False,0,False,,,,,
14497,7,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (MT),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,2.0,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.39,1.06,-0.0,0.0,0,0,0,False,False,,0,,False,2.0,False,0,0,False,0,False,,,,,
