IDPERSONA,IDESTRUCTURAORGANICA,UNIDAD_FUNCION,FUNCION_ADICIONAL,CATEGORIA_FUNCION_ADICIONAL,ES_SUBROGACION,ROL_SUBROGADO,CATEGORIA_ROL_SUBROGADO,NIVEL_FUNCION,DETALLE_NIVEL_FUNCION,FECHA_DESDE,FECHA_HASTA,DURACION_DIAS,ES_REPRESENTANTE_ESTUDIANTIL,ES_RUIDO_CALIDAD_DATOS,ES_DUPLICADO_EXACTO,ES_RUIDO_FUERA_DE_POBLACION,TIPOEMPLEADO_CONTRATO_DURANTE,CATEGORIA_CARGO_CONTRATO_DURANTE,ES_COINCIDENTE_CONTRATO
86,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Miembro del consejo directivo,OTROS_AA,False,,,,,2017-01-27,2020-01-26,1094,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
86,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Coordinador de prácticas empresariales,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Mecánica,2017-04-07,2018-01-17,285,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
86,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Subrogación,OTROS_AA,True,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-09-16,2019-09-23,7,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
86,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Coordinador de vinculación con la sociedad,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Mecánica,2025-02-17,2027-11-01,987,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
90,22,FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,Miembro del consejo directivo - trabajadores,OTROS_AA,False,,,,,2016-05-09,2018-05-08,729,False,False,False,False,ADMINISTRATIVO,PROFESIONAL_ANALISTA,False
94,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Coordinador general de postgrado,JEFATURA_SUPERVISION_OPERATIVA,False,,,,,2024-08-16,2026-05-31,653,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
94,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Coordinador de programa de postgrado,JEFATURA_SUPERVISION_OPERATIVA,False,,,POSGRADO,Maestría en Marketing de Destinos y Productos Turísticos,2024-08-16,2026-07-12,695,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
96,29,DECANATO DE POSTGRADO,Decano,AUTORIDAD_ACADEMICA_SUPERIOR,False,,,,,2013-08-09,2015-06-04,664,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,61,FACULTAD DE CIENCIAS DE LA VIDA,Miembro del consejo directivo,OTROS_AA,False,,,,,2015-10-14,2018-10-13,1095,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
96,3,VICERRECTORADO ACADÉMICO,Vicerrector,AUTORIDAD_ACADEMICA_SUPERIOR,False,,,,,2017-11-13,2022-11-13,1826,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2018-12-07,2018-12-14,7,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-02-13,2019-02-18,5,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-03-01,2019-03-09,8,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-03-28,2019-03-30,2,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
