IDPERSONA,TIPOEMPLEADO_ORIGEN,CATEGORIA_ORIGEN,TIPOEMPLEADO_DESTINO,CATEGORIA_DESTINO,TIPO_TRANSICION,FECHA_FIN_ORIGEN,FECHA_INICIO_DESTINO,GAP_DIAS
5337,DOCENTE,DOCENTE_TITULAR_CARRERA,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,DD_A_DD,2019-02-11,2019-02-12,1
5356,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,DOCENTE,DOCENTE_TITULAR_CARRERA,AA_A_DD,2011-12-31,2015-03-01,1156
5371,ADMINISTRATIVO,OTROS_AA,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,AA_A_DD,2006-07-12,2009-05-18,1041
5417,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,DD_A_AA,2008-03-05,2008-03-06,1
5417,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,AA_A_DD,2008-05-05,2008-10-13,161
5422,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,AA_A_AA,2002-07-04,2002-07-05,1
5436,DOCENTE,DOCENTE_TITULAR_CARRERA,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,DD_A_DD,2014-09-30,2014-10-01,1
5436,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,DOCENTE_TITULAR_CARRERA,DD_A_DD,2021-07-31,2021-08-01,1
5460,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,DOCENTE_TITULAR_CARRERA,DD_A_DD,2020-03-31,2020-04-01,1
5559,ADMINISTRATIVO,OTROS_AA,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,AA_A_AA,2008-09-30,2008-10-01,1
5559,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,AA_A_AA,2009-09-30,2010-10-01,366
5559,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,ADMINISTRATIVO,PROFESIONAL_ANALISTA,AA_A_AA,2014-12-31,2015-01-01,1
5573,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,AA_A_DD,2016-05-31,2016-06-01,1
5573,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,ADMINISTRATIVO,PROFESIONAL_ANALISTA,DD_A_AA,2016-12-31,2017-01-01,1
5588,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,AA_A_DD,2015-03-13,2020-02-22,1807
5601,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,ADMINISTRATIVO,PROFESIONAL_ANALISTA,AA_A_AA,2012-12-31,2013-01-01,1
5821,ADMINISTRATIVO,OTROS_AA,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,AA_A_AA,2017-01-30,2019-01-02,702
5874,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,AA_A_AA,2024-12-31,2025-01-01,1
6022,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,AA_A_AA,2019-12-31,2020-01-01,1
6056,DOCENTE,DOCENTE_TITULAR_CARRERA,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,DD_A_DD,2015-12-31,2016-01-01,1
6056,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,DOCENTE_TITULAR_CARRERA,DD_A_DD,2016-07-31,2016-08-01,1
6120,ADMINISTRATIVO,OTROS_AA,ADMINISTRATIVO,PROFESIONAL_ANALISTA,AA_A_AA,2008-12-31,2009-01-01,1
6120,ADMINISTRATIVO,PROFESIONAL_ANALISTA,DOCENTE,TECNICO_DOCENTE_APOYO,AA_A_DD,2009-12-31,2022-05-16,4519
6160,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,AA_A_DD,2012-12-31,2018-05-01,1947
6811,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,AA_A_AA,1995-02-28,1996-12-01,642
6811,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,AA_A_AA,1997-11-30,2009-08-01,4262
6811,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,ADMINISTRATIVO,TECNICO_OPERATIVO_MANTENIMIENTO,AA_A_AA,2010-07-31,2013-01-01,885
