IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,CARGO_TRAMO,UNIDAD_TRAMO
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2005-05-16,2005-09-24,1,PROFESOR PREGRADO,DESCONOCIDA
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2015-03-01,2023-12-29,14,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2024-02-19,2024-03-13,1,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2024-12-23,2024-12-24,1,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2024-12-26,2024-12-31,1,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2025-02-24,2025-02-28,1,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2025-03-05,2025-03-27,1,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,DOCENTE_TITULAR_CARRERA,2025-04-02,2025-04-04,1,PROFESOR TITULAR AUXILIAR 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-07-07,2025-09-05,2,DECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-09-22,2025-09-26,1,DECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2025-12-26,2025-12-31,1,SUBDECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-01-27,2026-01-30,1,DECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-03-09,2026-03-18,1,DECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-03-23,2026-03-27,1,DECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-04-13,2026-04-17,1,SUBDECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-05-25,2026-05-30,1,DECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-07-12,2026-07-17,1,SUBDECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-08-17,2026-08-21,1,SUBDECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2098,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2026-08-31,,2,SUBDECANO(A),ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS
2103,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2018-10-01,2021-12-31,8,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA
