IDPERSONA,CARGO,UNIDAD,INICIO,FIN,DURACION_ANIOS,ES_SIGNIFICATIVO,ES_PARALELO
398,PROFESOR PREGRADO,DESCONOCIDA,1990-05-28,1991-03-01,0.76,True,True
398,ASISTENTE PROGRAMA CIRCULACIÓN,DESCONOCIDA,1991-01-02,1991-01-16,0.04,False,True
398,ENCARGADO,DESCONOCIDA,1992-09-08,1992-10-07,0.08,False,False
398,PROFESOR PREGRADO,DESCONOCIDA,1998-10-19,2001-02-23,2.35,True,False
398,PROFESOR PREGRADO,DESCONOCIDA,2001-10-22,2002-03-02,0.36,True,False
398,PROFESOR PREGRADO,DESCONOCIDA,2002-10-21,2003-03-07,0.38,True,False
398,PROFESOR PREGRADO,DESCONOCIDA,2004-05-17,2004-09-25,0.36,True,False
398,PROFESOR PREGRADO,DESCONOCIDA,2006-10-17,2007-03-06,0.38,True,False
398,PROFESOR PREGRADO,DESCONOCIDA,2007-10-15,2008-09-26,0.95,True,False
398,PROFESOR NO TITULAR OCASIONAL (MT),DESCONOCIDA,2014-10-20,2015-03-13,0.39,True,False
398,PROFESOR NO TITULAR OCASIONAL 1 (TP),"FACULTAD DE INGENIERIA MARÍTIMA, CIENCIAS BIOLÓGICAS, OCEÁNICAS Y RECURSOS NATURALES",2016-05-02,2017-03-17,0.87,True,False
398,PROFESOR NO TITULAR OCASIONAL (TP),"FACULTAD DE INGENIERIA MARÍTIMA, CIENCIAS BIOLÓGICAS, OCEÁNICAS Y RECURSOS NATURALES",2017-10-04,2018-03-02,0.41,True,False
398,PROFESOR NO TITULAR OCASIONAL (TP),"FACULTAD DE INGENIERIA MARÍTIMA, CIENCIAS BIOLÓGICAS, OCEÁNICAS Y RECURSOS NATURALES",2018-10-01,2019-02-22,0.39,True,False
398,PROFESOR NO TITULAR OCASIONAL (TP),"FACULTAD DE INGENIERIA MARÍTIMA, CIENCIAS BIOLÓGICAS, OCEÁNICAS Y RECURSOS NATURALES",2021-05-17,2021-08-31,0.29,True,False
414,TÉCNICO AUXILIAR DE CONVENIOS Y PORYECTOS (TECNÓLOGO DE CAPTURA),DESCONOCIDA,1985-05-01,1986-04-09,0.94,True,False
414,PROFESOR ACCIDENTAL,DESCONOCIDA,1989-07-04,1990-07-03,1.0,True,False
414,PROFESOR PREGRADO,DESCONOCIDA,2005-02-11,2009-02-10,4.0,True,False
414,PROFESOR PRINCIPAL,DESCONOCIDA,2009-03-10,2009-12-31,0.81,True,False
414,PROFESOR TITULAR PRINCIPAL (MT),DESCONOCIDA,2013-01-01,2022-05-01,9.33,True,False
419,PROFESOR,DESCONOCIDA,1983-08-01,1983-09-15,0.12,False,False
419,PROFESIR,DESCONOCIDA,1993-10-18,1994-03-04,0.38,True,False
419,PROFESOR,DESCONOCIDA,1994-05-23,2009-03-02,14.77,True,False
419,TÉCNICO DE LABORATORIO 4,FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,2017-10-01,2020-09-30,3.0,True,False
529,DOCENTE INVESTIGADOR,DESCONOCIDA,1979-10-01,1985-09-30,6.0,True,True
