IDPERSONA,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES
53238,28.0,5.0,1359.0
56628,114.0,7.0,10555.0
80018,4.0,3.0,159.0
54744,61.0,7.0,6205.0
54091,26.0,5.0,1206.0
55492,2.0,1.0,103.0
51025,45.0,3.0,1519.0
58823,9.0,2.0,436.0
5590,22.0,6.0,1901.0
53355,21.0,5.0,1025.0
656027,2.0,1.0,25.0
54761,33.0,3.0,1359.0
651350,10.0,5.0,845.0
53840,24.0,3.0,1183.0
103178,12.0,2.0,529.0
51212,22.0,4.0,665.0
5592,1.0,1.0,120.0
53156,9.0,2.0,215.0
12880,14.0,4.0,1748.0
14089,62.0,7.0,4966.0
650158,5.0,4.0,281.0
53345,26.0,3.0,1471.0
651372,42.0,5.0,5808.0
51716,5.0,4.0,484.0
54841,27.0,5.0,1742.0
57930,59.0,5.0,2999.0
53856,121.0,8.0,12706.0
58108,22.0,3.0,835.0
54568,26.0,3.0,1656.0
14309,7.0,2.0,247.0
53130,17.0,5.0,1072.0
57729,1.0,1.0,27.0
14489,4.0,2.0,72.0
53142,16.0,3.0,613.0
662170,4.0,2.0,65.0
14155,120.0,5.0,14206.0
14227,26.0,3.0,1121.0
652546,45.0,5.0,1631.0
53513,6.0,2.0,397.0
14501,6.0,2.0,265.0
14321,8.0,2.0,215.0
53126,26.0,3.0,1040.0
95278,66.0,5.0,5242.0
654372,24.0,4.0,814.0
14164,142.0,9.0,13255.0
654370,4.0,2.0,205.0
57143,35.0,6.0,2591.0
14333,24.0,6.0,1737.0
51232,17.0,3.0,486.0
654365,41.0,7.0,4276.0
55173,31.0,2.0,1272.0
14547,5.0,3.0,115.0
55814,120.0,7.0,8040.0
53239,6.0,4.0,381.0
53353,19.0,4.0,803.0
57394,11.0,5.0,423.0
649335,46.0,5.0,1895.0
14397,7.0,1.0,121.0
102449,51.0,3.0,2694.0
54155,41.0,7.0,2833.0
53811,96.0,8.0,7123.0
56233,16.0,5.0,1277.0
52751,11.0,3.0,583.0
56607,40.0,5.0,1584.0
101234,23.0,2.0,912.0
57062,17.0,4.0,661.0
662854,4.0,2.0,105.0
56532,15.0,3.0,554.0
58595,81.0,8.0,4833.0
56529,49.0,5.0,5224.0
51595,19.0,5.0,1385.0
56412,104.0,5.0,9542.0
656736,0.0,0.0,0.0
21845,17.0,3.0,554.0
81391,12.0,5.0,387.0
654444,1.0,1.0,55.0
664182,8.0,3.0,339.0
14361,5.0,2.0,184.0
102971,78.0,7.0,5256.0
55666,59.0,6.0,2022.0
53351,0.0,0.0,0.0
56393,12.0,2.0,455.0
653854,41.0,5.0,3592.0
655963,13.0,5.0,661.0
54577,17.0,3.0,1463.0
57012,15.0,2.0,466.0
651142,39.0,3.0,1642.0
669912,25.0,5.0,2843.0
14617,6.0,2.0,173.0
56148,0.0,0.0,0.0
57817,12.0,4.0,896.0
14153,69.0,7.0,4603.0
663923,14.0,4.0,527.0
56959,11.0,2.0,347.0
55735,40.0,5.0,2532.0
645943,16.0,2.0,737.0
